ticker,company_name,market_cap,size_band,sub_type,scale_category,market_code,source,is_reinclude_43list,is_judgment_add,manual_name_resolved
4053,Sun* Inc.,17797363712,small,SI_IT_services,S,,Phase1_TSE33,False,False,False
4493,"Cyber Security Cloud, Inc.",17516544000,small,SaaS,S,,Phase1_TSE33,False,False,False
4344,Sourcenext Corporation,16736111616,small,SaaS,S,,Phase1_TSE33,False,False,False
3914,(name missing — Phase 2 acquisition loop will resolve),16529164288,small,other,S,,Phase1_TSE33,False,False,False
3656,KLab Inc.,15771454200.0,small,content_games,TOPIX Small 2,プライム,Tempest+Phase1_TSE33,False,False,False
3776,"BroadBand Tower, Inc.",15733241856,small,SI_IT_services,S,,Phase1_TSE33,False,False,False
4448,"kubell Co., Ltd.",11601717248,small,SaaS,S,,Phase1_TSE33,False,False,False
4382,"HEROZ, Inc.",10919185408,small,SaaS,S,,Phase1_TSE33,False,False,False
4264,"Secure, Inc.",10550764544,small,SaaS,S,,Phase1_TSE33,False,False,False
4488,AI inside Inc.,9292048384,small,SaaS,S,,Phase1_TSE33,False,False,False
4169,ENECHANGE Ltd.,9173583872,small,SaaS,S,,Phase1_TSE33,False,False,False
3911,(name missing — Phase 2 acquisition loop will resolve),8026930176,small,other,S,,Phase1_TSE33,False,False,False
5034,"unerry,Inc.",7677858816,small,SaaS,S,,Phase1_TSE33,False,False,False
5244,"jig.jp Co., Ltd.",7417476096,small,SI_IT_services,S,,Phase1_TSE33,False,False,False
4490,VisasQ Inc.,6123784704,small,internet_platform,S,,Phase1_TSE33,False,False,False
4176,coconala Inc.,5756776960,small,internet_platform,S,,Phase1_TSE33,False,False,False
3744,SIOS Corporation,4837336576,small,SI_IT_services,S,,Phase1_TSE33,False,False,False
3858,Ubiquitous AI Corporation,3974375424,small,SI_IT_services,S,,Phase1_TSE33,False,False,False
3935,"Edia Co., Ltd.",3762475264,small,content_games,S,,Phase1_TSE33,False,False,False
